lambda,rho,z
0.1,0,1.0
0.2,0,0.9999999973598223
0.3,0,0.7457471363753928
0.4,0,0.466996422218419
0.5,0,0.3242432664189885
0.6,0,0.24092674553967058
0.7,0,0.18786163382482943
0.8,0,0.1518693246578182
0.9,0,0.12626500676978733
1.0,0,0.10735524639079089
1.1,0,0.09296061850016688
1.2,0,0.08172594257127906
1.3,0,0.07277173034881196
1.4,0,0.06550648890247145
1.5,0,0.059520209292640375
1.6,0,0.0545212081013138
1.7,0,0.05029724531695254
1.8,0,0.046690799615394254
1.9,0,0.043582895291722
2.0,0,0.04088225609621397
2.1,0,0.038517868607456686
2.2,0,0.03643378131021123
2.3,0,0.03458540177860068
2.4,0,0.0329368175159679
2.5,0,0.03145882875898593
2.6,0,0.03012748451553868
2.7,0,0.02892297959149068
2.8,0,0.027828814105193205
2.9,0,0.026831146268218937
3.0,0,0.025918289121418366
3.1,0,0.025080315654161828
3.2,0,0.024308746343920867
3.3,0,0.023596299959465036
3.4,0,0.022936693348501513
3.5,0,0.022324479464549733
3.6,0,0.021754915474749323
3.7,0,0.021223854702263928
3.8,0,0.020727657582930926
3.9,0,0.02026311788844893
4.0,0,0.019827401281778415
4.1,0,0.019417993891931763
4.2,0,0.019032659073651946
4.3,0,0.0186694008881363
4.4,0,0.018326433130057523
4.5,0,0.018002152953014983
4.6,0,0.01769511832465317
4.7,0,0.01740402868486743
4.8,0,0.017127708293996676
4.9,0,0.016865091848935893
5.0,0,0.016615212018488243
5.1,0,0.0163771886087129
5.2,0,0.016150219117380994
5.3,0,0.015933570476161497
5.4,0,0.01572657181157532
5.5,0,0.015528608082456357
5.6,0,0.015339114473737137
5.7,0,0.01515757144469875
5.8,0,0.014983500345084038
5.9,0,0.014816459525225433
6.0,0,0.014656040877030069
6.1,0,0.014501866751656711
6.2,0,0.01435358720730613
6.3,0,0.014210877546964751
6.4,0,0.014073436111389361
6.5,0,0.013940982297254833
6.6,0,0.013813254774341609
6.7,0,0.013690009879022169
6.8,0,0.013571020164206365
6.9,0,0.01345607308839909
7.0,0,0.013344969828671754
7.1,0,0.013237524204205228
7.2,0,0.013133561698667152
7.3,0,0.01303291857107992
7.4,0,0.01293544104604606
7.5,0,0.012840984575252738
7.6,0,0.01274941316309674
7.7,0,0.012660598750076588
7.8,0,0.0125744206483029
7.9,0,0.012490765024096746
8.0,0,0.012409524423189846
8.1,0,0.012330597334518937
8.2,0,0.012253887789029446
8.3,0,0.012179304990276666
8.4,0,0.01210676297394334
8.5,0,0.012036180293684699
8.6,0,0.011967479730972673
8.7,0,0.011900588026841453
8.8,0,0.011835435633642812
8.9,0,0.011771956485102509
9.0,0,0.011710087783133339
9.1,0,0.011649769800006414
9.2,0,0.011590945694613348
9.3,0,0.011533561341669744
9.4,0,0.011477565172815517
9.5,0,0.011422908028662223
9.6,0,0.011369543020923122
9.7,0,0.01131742540383814
9.8,0,0.011266512454175022
9.9,0,0.011216763359150974
