lambda,rho,t
0.05,4,0.0
0.1,4,0.0
0.15,4,-2.220446049250313e-16
0.2,4,0.0
0.25,4,0.0
0.3,4,0.0
0.35,4,0.0
0.4,4,2.220446049250313e-16
0.45,4,2.220446049250313e-16
0.5,4,0.0
0.55,4,0.0
0.6,4,0.0
0.65,4,0.0
0.7,4,2.220446049250313e-16
0.75,4,-2.220446049250313e-16
0.8,4,0.0
0.85,4,0.0
0.9,4,2.220446049250313e-16
0.95,4,5.551115123125783e-16
1.0,4,7.771561172376096e-16
1.05,4,7.771561172376096e-16
1.1,4,1.2212453270876722e-15
1.15,4,1.887379141862766e-15
1.2,4,3.885780586188048e-15
1.25,4,0.0030689056164023842
1.3,4,0.0904419919571815
1.35,4,0.16634723487447733
1.4,4,0.2312062465458552
1.45,4,0.2873864404343083
1.5,4,0.3365777174212845
1.55,4,0.3800327224068675
1.6,4,0.41870729757894576
1.65,4,0.45334778737904635
1.7,4,0.4845479824854878
1.75,4,0.512787727174639
1.8,4,0.5384599399324428
1.85,4,0.5618900332547867
1.9,4,0.5833501879928031
1.95,4,0.6030700498148093
2.0,4,0.6212448797016281
2.05,4,0.6380418560320305
2.1,4,0.6536050108456171
2.15,4,0.6680591410302636
2.2,4,0.6815129394228958
2.25,4,0.6940615248322042
2.3,4,0.7057885036919376
2.35,4,0.7167676630249735
2.4,4,0.7270643704843713
2.45,4,0.7367367396872879
2.5,4,0.7458366060177894
2.55,4,0.7544103482759684
2.6,4,0.76249958411085
2.65,4,0.7701417614712066
2.7,4,0.7773706638973018
2.75,4,0.784216844036769
2.8,4,0.7907079970648097
2.85,4,0.7968692835495836
2.9,4,0.8027236095991583
2.95,4,0.808291870759761
3.0,4,0.8135931650328613
3.05,4,0.8186449794847244
3.1,4,0.8234633541933015
3.15,4,0.8280630266802367
3.2,4,0.8324575594842614
3.25,4,0.8366594531258409
3.3,4,0.8406802463754917
3.35,4,0.8445306054568358
3.4,4,0.8482204035800263
3.45,4,0.8517587920033907
3.5,4,0.8551542636544396
3.55,4,0.8584147102004017
3.6,4,0.8615474733388173
3.65,4,0.8645593909769238
3.7,4,0.8674568388816641
3.75,4,0.870245768307766
3.8,4,0.8729317400474939
3.85,4,0.87551995529073
3.9,4,0.8780152836366414
3.95,4,0.8804222885571864
4.0,4,0.882745250577182
4.05,4,0.8849881884047709
4.1,4,0.8871548782192366
4.15,4,0.8892488712996623
4.2,4,0.8912735101574026
4.25,4,0.8932319433173734
4.3,4,0.8951271388773798
4.35,4,0.8969618969608335
4.4,4,0.8987388611659806
4.45,4,0.9004605291039752
4.5,4,0.9021292621085946
4.55,4,0.9037472941919431
4.6,4,0.905316740313004
4.65,4,0.9068396040192374
4.7,4,0.9083177845155069
4.75,4,0.9097530832093362
4.8,4,0.9111472097767922
4.85,4,0.9125017877890836
4.9,4,0.913818359936199
4.95,4,0.9150983928805376
5.0,4,0.9163432817704593
5.05,4,0.9175543544409617
5.1,4,0.9187328753262511
5.15,4,0.9198800491067693
5.2,4,0.9209970241112563
5.25,4,0.9220848954926387
5.3,4,0.9231447081949133
5.35,4,0.9241774597267325
5.4,4,0.9251841027560741
5.45,4,0.9261655475391748
5.5,4,0.9271226641958162
5.55,4,0.9280562848420656
5.6,4,0.928967205590666
5.65,4,0.929856188428459
5.7,4,0.9307239629794714
5.75,4,0.9315712281616187
5.8,4,0.9323986537443565
5.85,4,0.933206881814043
5.9,4,0.9339965281532586
5.95,4,0.9347681835398537
6.0,4,0.9355224149710583
6.05,4,0.9362597668175929
6.1,4,0.9369807619123527
6.15,4,0.9376859025779
6.2,4,0.9383756715966959
6.25,4,0.9390505331277144
6.3,4,0.9397109335728249
6.35,4,0.9403573023960867
6.4,4,0.9409900528988804
6.45,4,0.9416095829535932
6.5,4,0.9422162756983934
6.55,4,0.942810500195448
6.6,4,0.9433926120547834
6.65,4,0.9439629540258371
6.7,4,0.9445218565586114
6.75,4,0.9450696383362157
6.8,4,0.9456066067804618
6.85,4,0.9461330585320721
6.9,4,0.9466492799069559
6.95,4,0.9471555473299176
7.0,4,0.9476521277470711
7.05,4,0.9481392790181562
7.1,4,0.9486172502898758
7.15,4,0.9490862823513021
7.2,4,0.9495466079723381
7.25,4,0.9499984522261552
7.3,4,0.9504420327964755
7.35,4,0.9508775602705131
7.4,4,0.9513052384183366
7.45,4,0.9517252644593764
7.5,4,0.9521378293167493
7.55,4,0.9525431178600384
7.6,4,0.952941309137128
7.65,4,0.9533325765956548
7.7,4,0.9537170882946109
7.75,4,0.9540950071065953
7.8,4,0.95446649091119
7.85,4,0.9548316927799012
7.9,4,0.9551907611530925
7.95,4,0.9555438400093006
8.0,4,0.9558910690273108
8.05,4,0.9562325837413481
8.1,4,0.9565685156897142
8.15,4,0.9568989925571909
8.2,4,0.9572241383115054
8.25,4,0.9575440733341433
8.3,4,0.9578589145457751
8.35,4,0.9581687755265507
8.4,4,0.9584737666315022
8.45,4,0.9587739951012815
8.5,4,0.959069565168449
8.55,4,0.9593605781595186
8.6,4,0.9596471325929503
8.65,4,0.9599293242732776
8.7,4,0.9602072463815414
8.75,4,0.9604809895621977
8.8,4,0.9607506420066556
8.85,4,0.9610162895335955
8.9,4,0.9612780156662092
8.95,4,0.9615359017064965
9.0,4,0.9617900268067477
9.05,4,0.9620404680383325
9.1,4,0.9622873004579121
9.15,4,0.9625305971711853
9.2,4,0.9627704293942729
9.25,4,0.9630068665128412
9.3,4,0.9632399761390591
9.35,4,0.96346982416648
9.4,4,0.9636964748229356
9.45,4,0.963919990721523
9.5,4,0.9641404329097639
9.55,4,0.9643578609170116
9.6,4,0.9645723328001764
9.65,4,0.9647839051878389
9.7,4,0.9649926333228137
9.75,4,0.9651985711032295
9.8,4,0.9654017711221808
9.85,4,0.9656022847060118
9.9,4,0.9658001619512829
9.95,4,0.965995451760475
